# Tabla maestra de emisores de ONs — ON Radar
# Generado por build_issuer_master.py
# prefijo,cuit_emisor,razon_social,sector,fuente
prefijo,cuit_emisor,razon_social,sector,fuente
397,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
AB,30708142693,AGROBICIUFFA SRL,,afip_oficial
AFC,30604731018,Banco Comafi S.A.,Financiero - Bancos,afip_oficial
AFCB,30604731018,BANCO COMAFI S.A.,,afip_oficial
AFCD,30604731018,BANCO COMAFI S.A.,,afip_oficial
AFCG,30604731018,BANCO COMAFI S.A.,,afip_oficial
AG,30640783199,ARGENSUN S.A,,afip_oficial
AHC,30501863129,RICARDO ALMAR E HIJOS S.A.,,afip_oficial
ALC,30716620472,ALPARGATAS TEXTIL S.A.,,afip_oficial
ARC,30696170580,Aeropuertos Argentina 2000 S.A.,Infraestructura - Aeropuertos,manual_confirmado
AT,30542790780,AGROTECNOLOGIA SALA S.A.,,afip_oficial
AV,30715595105,ASPRO SERVICIOS PETROLEROS SA,,afip_oficial
AWS,30678534214,ARBITRA S.A.,,afip_oficial
BCC,30576614299,Banco CMF S.A.,Financiero - Bancos,afip_oficial
BCCJ,30576614299,BANCO CMF S.A.,,afip_oficial
BDC,30707227415,Banco de Crédito y Securitización S.A.,Financiero - Bancos,afip_oficial
BDCK,30707227415,BANCO DE CREDITO Y SECURITIZACION SA,,afip_oficial
BF,30500003193,BANCO BBVA ARGENTINA S.A.,,afip_oficial
BF3,30500003193,Banco BBVA Argentina S.A.,Financiero - Bancos,afip_oficial
BNCT,30500008454,BANCO SANTANDER ARGENTINA S.A,,afip_oficial
BNCU,30500008454,BANCO SANTANDER ARGENTINA S.A,,afip_oficial
BNCW,30500008454,BANCO SANTANDER ARGENTINA S.A,,afip_oficial
BO,30710218192,PROCHEM BIO S.A.,,afip_oficial
BPC,33500005179,Banco Supervielle S.A.,Financiero - Bancos,afip_oficial
BPCL,33500005179,BANCO SUPERVIELLE S.A.,,afip_oficial
BSCR,30697265895,BANCO DE SERVICIOS FINANCIEROS S.A.,,afip_oficial
BT,30707810927,COMPAÑIA TSB SA,,afip_oficial
BT2,30707810927,Compañía TSB S.A.,Consumo - Automotriz,afip_oficial
BTS,30707810927,COMPAÑIA TSB SA,,afip_oficial
BUC,30517637498,BANCO COLUMBIA S.A.,,afip_oficial
BVC,30704960995,Banco de Servicios y Transacciones S.A.,Financiero - Bancos,afip_oficial
BVCN,30704960995,BANCO DE SERVICIOS Y TRANSACCIONES S.A.,,afip_oficial
BYC,30500001735,Banco de Galicia y Buenos Aires S.A.,Financiero - Bancos,afip_oficial
BYCJ,30500001735,BANCO DE GALICIA Y BUENOS AIRES S.A.,,afip_oficial
BYCM,30500001735,BANCO DE GALICIA Y BUENOS AIRES S.A.,,afip_oficial
BYCQ,30500001735,BANCO DE GALICIA Y BUENOS AIRES S.A.,,afip_oficial
BZSB,30534672434,BANCO SAENZ S.A.,,afip_oficial
CA,30707651675,CAIMAN SRL,,afip_oficial
CAC,30629827060,Capex S.A.,Energía - Electricidad,afip_oficial
CACA,30629827060,CAPEX S.A.,,afip_oficial
CFS,30641056177,CFN S.A.,,afip_oficial
CH,33572266449,CARSA SA,,afip_oficial
CHS,33572266449,CARSA SA,,afip_oficial
CIC,30714322938,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,,afip_oficial
CMS,30714763225,CREATIVE PMO INTERNATIONAL S.A.,,afip_oficial
CNQ,30538006404,COMPANIA FINANCIERA ARGENTINA S.A.,,afip_oficial
CP,30506733932,CIA GENERAL DE COMBUSTIBLES S.A.,,afip_oficial
CP3,30506733932,Cía. General de Combustibles S.A.,Energía - Gas,afip_oficial
CRCK,30501062150,CELULOSA ARGENTINA S.A.,,afip_oficial
CRS,30672812808,CEDISUR S.A.,,afip_oficial
CS,30509300700,CRESUD S.A.C.I.F. Y A.,,afip_oficial
CS3,30509300700,Cresud S.A.C.I.F. y A.,Agro - Real Estate,afip_oficial
CS4,30509300700,Cresud S.A.C.I.F. y A.,Agro - Real Estate,afip_oficial
CS5,30509300700,Cresud S.A.C.I.F. y A.,Agro - Real Estate,afip_oficial
CT,30641487267,ACTUAL S.A.,,afip_oficial
CWC,30709346268,CROWN POINT ENERGIA S.A.,,afip_oficial
CXCW,30712101136,CREDITO DIRECTO S.A.,,afip_oficial
DDS,30713701803,3D LATINOAMERICA S.A.,,afip_oficial
DEC,30690633635,Empresa Distrib. de Electricidad Salta S.A.,Energía - Electricidad,manual_confirmado
DHD,30710911580,CREDICUOTAS CONSUMO S.A.,,afip_oficial
DHS,30710911580,Credicuotas Consumo S.A.,Financiero - Crédito Consumo,afip_oficial
DHSE,30710911580,CREDICUOTAS CONSUMO S.A.,,afip_oficial
DM,30707912673,DEMAGRO S.R.L,,afip_oficial
DNC,30655116202,EDENOR S.A.,,afip_oficial
DPS,30716155680,DARUMA PAGOS S.A.,,afip_oficial
DRDA,30589527115,SURCOS S.A.,,afip_oficial
DRDC,30589527115,SURCOS S.A.,,afip_oficial
DRFA,30589527115,SURCOS S.A.,,afip_oficial
DRFC,30589527115,SURCOS S.A.,,afip_oficial
DRSE,30589527115,SURCOS S.A.,,afip_oficial
EAC,30714155128,MSU GREEN ENERGY S.A.U.,,afip_oficial
EH,30708587415,HECTOR A. BERTONE SA,,afip_oficial
EK,30503339788,ESKABE S.A.,,afip_oficial
EL,30519527703,TERMOELECTRICA SA,,afip_oficial
ELS,30519527703,TERMOELECTRICA SA,,afip_oficial
ENC,30716684594,ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,,afip_oficial
EOS,30505607925,ECOSUR BAHIA SOCIEDAD ANONIMA,,afip_oficial
EP,33708830599,TRESNAL AGROPECUARIA S.A.,,afip_oficial
ESS,33710735609,ASSERCA S.R.L.,,afip_oficial
EXS,30708847247,EXPRESO LANCIONI S.A,,afip_oficial
FN,30707816410,FERRETERIA DEL NORTE SRL,,afip_oficial
FSS,30716837994,AFS GROUP S.A.,,afip_oficial
FTL,30692304884,FCA CIA. FINANCIERA SA,,afip_oficial
FTM,30692304884,FCA CIA. FINANCIERA SA,,afip_oficial
GB,30660920451,GRUAS SAN BLAS S.A,,afip_oficial
GBS,30660920451,GRUAS SAN BLAS S.A,,afip_oficial
GE,30516139451,GEORGALOS HERMANOS Y CIA,,afip_oficial
GF,30539301388,GARRO FABRIL S.A,,afip_oficial
GHC,30558543317,GRUPO COHEN S.A.,,afip_oficial
GK,30640576428,GUALOK SRL,,afip_oficial
GLS,30715157299,GALERENT S.A.,,afip_oficial
GMC,30682434720,Generación Mediterránea S.A.,Energía - Electricidad,afip_oficial
GMCG,30682434720,GENERACION MEDITERRANEA S.A.,,afip_oficial
GMCJ,30682434720,GENERACION MEDITERRANEA S.A.,,afip_oficial
GN,30665234114,GENNEIA S.A.,,afip_oficial
GN3,30665234114,Genneia S.A.,Energía - Renovable,afip_oficial
GN4,30665234114,Genneia S.A.,Energía - Renovable,afip_oficial
GOC,33715184139,GENERACION LITORAL SA,,afip_oficial
GU,30710685696,TRACE GROUP S.A.,,afip_oficial
GZS,33715043519,GESTION DE PRESTAMOS Y COBRANZAS,,afip_oficial
HA,33657476639,MADERO HARBOUR S.A.,,afip_oficial
HBC,30500011072,BANCO HIPOTECARIO S.A.,,afip_oficial
HBCA,30500011072,BANCO HIPOTECARIO S.A.,,afip_oficial
HBCB,30500011072,BANCO HIPOTECARIO S.A.,,afip_oficial
HC,30711075905,HIDROTEC S.A.,,afip_oficial
HG,30539081086,GASTALDI HNOS. S.A.I. y C.F. e I.,,afip_oficial
HJC,30707024859,John Deere Credit Cía. Financiera S.A.,Financiero - Crédito Industrial,afip_oficial
HJCA,30707024859,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,,afip_oficial
HN,30541416540,RATTO HNOS S.AC.F.A.,,afip_oficial
HT,30715857460,HATTRICK ENERGY SAS,,afip_oficial
IC,33711217679,INSUGA CHACO S.A,,afip_oficial
IF,30718592425,INCLUSION FINANCIERA INTEGRAL S.R.L.,,afip_oficial
INS,33688256149,INTERCONNECT S.A.,,afip_oficial
IP,30716855372,PROCESOS INDUSTRIALES METALLO SA,,afip_oficial
IRC,30524688673,IRSA Inversiones y Representaciones S.A.,Real Estate,manual_confirmado
JOS,30590762233,ALBERTO J. OLIVERO E HIJOS S.A.,,afip_oficial
JTS,30714228346,FERRETERA CENTRAL JT S.R.L.,,afip_oficial
KIS,33717152749,MILKYNET S.A.,,afip_oficial
KLS,30574564367,KLONAL SRL,,afip_oficial
KR,30641234601,BISORDI KREMAR SRL,,afip_oficial
LA,30714108235,LATITUD 45 PETROLEO Y GAS SA,,afip_oficial
LEC,30682504125,ALBANESI S.A.,,afip_oficial
LECA,30682504125,ALBANESI S.A.,,afip_oficial
LECD,30682504125,ALBANESI S.A.,,afip_oficial
LECH,30682504125,ALBANESI S.A.,,afip_oficial
LECI,30682504125,ALBANESI S.A.,,afip_oficial
LECJ,30682504125,ALBANESI S.A.,,afip_oficial
LECL,30682504125,ALBANESI S.A.,,afip_oficial
