cuit_emisor,razon_social,codigo_caja_valores,codigo_byma,denominacion_especie,tipo_titulo,fecha_alta,fecha_vencimiento,moneda,prefijo
30642412899,MAQUINAS AGRICOLAS OMBU S.A,58996,OM1BL,ON PYME MAQUINAS AGRICOLAS OMBU S.1 CL.B 20/1,1O/B2L7I GUASCDION NEGOCIABLE PYME,20/11/2025,20/11/2027,Pesos,OM
30539081086,GASTALDI HNOS. S.A.I. y C.F. e I.,58061,HG22P,ON PYME GASTALDI HNOS S.2 CL.2 $,OBLIGACION NEGOCIABLE PYME,16/9/2024,16/9/2026,Pesos,HG
30516877223,LILIANA SRL,57684,LN21P,ON P LILIANA SRL S2 CL.1 V27/03/26 $ CG,OBLIGACION NEGOCIABLE PYME,27/3/2024,27/3/2026,Pesos,LN
30690076043,SION S.A.,55608,SN7BP,ON SION SA PYME S7 CL.B V.07/09/26$ C.G,OBLIGACION NEGOCIABLE PYME,7/9/2021,7/9/2026,Pesos,SN
30690076043,SION S.A.,57462,SNSDP,ON PYME SION 12 V02/11/26 UVA CG,OBLIGACION NEGOCIABLE PYME,2/11/2023,2/11/2026,Pesos,SNSD
30651084241,PEDROLGA S.A.,59006,PES1L,ON PYME PEDROLGA S.1 26/11/27 $,OBLIGACION NEGOCIABLE PYME,26/11/2025,26/11/2027,Pesos,PES
30707810927,COMPAÑIA TSB SA,58076,BT21P,ON PYME CIA.TSB S.2 C.1 V.20/9/26 U$S CG,OBLIGACION NEGOCIABLE PYME,20/9/2024,20/9/2026,Pesos,BT
30715999141,SPAZIOS INMUEBLES S.A.,59073,ZI11P,ON PYME SPAZIOS INMUEBLES S.1 CL.1 15/12/27 $,OBLIGACION NEGOCIABLE PYME,15/12/2025,15/12/2027,Pesos,ZI
30708132337,NUEVAS TIERRAS S.A.,57465,NUS1P,ON P NUEVAS TIERRAS 1 V07/11/26 U$S CG,OBLIGACION NEGOCIABLE PYME,7/11/2023,7/11/2026,Pesos,NUS
30712129766,AGRONEA PRODUCCIONES SRL,58800,SA1BP,ON PYME AGRONEA PROD. S.1 CL.B V.24/07/30 $ CG,OBLIGACION NEGOCIABLE PYME,24/7/2025,24/7/2030,Pesos,SA
33712110959,ZUAMAR S.A.,57896,ZUS2P,ON PYME ZUAMAR S.2 U$S V.17/07/27 C.G.,OBLIGACION NEGOCIABLE PYME,17/7/2024,17/7/2027,Pesos,ZUS
30658840165,OLEODUCTOS DEL VALLE S.A.,57850,OLC4O,ON OLDELVAL CL. 4 VTO.14/06/26 U$S CG,OBLIGACION NEGOCIABLE SIMPLE,14/6/2024,14/6/2026,Pesos,OLC
30690076043,SION S.A.,56263,SN8BP,ON PYME SION S. 8 CL. B $ V30/06/27 CG,OBLIGACION NEGOCIABLE SIMPLE,30/6/2022,30/6/2027,Pesos,SN
30500011072,BANCO HIPOTECARIO S.A.,59004,HBCBO,ON BANCO HIPOTECARIO CL.11 20/11/26 $,OBLIGACION NEGOCIABLE SIMPLE,20/11/2025,20/11/2026,Pesos,HBCB
30641487267,ACTUAL S.A.,52972,CT62P,ON.PYMES ACTUAL S.6 CL.2 V.03/11/20 $ CG,OBLIGACION NEGOCIABLE SIMPLE,3/11/2017,3/11/2020,Pesos,CT
33711217679,INSUGA CHACO S.A,55363,IC1BP,ON PYME INSUGA CHACO S1 CLB V17/11/22 CG,OBLIGACION NEGOCIABLE SIMPLE,17/5/2021,17/5/2025,Pesos,IC
30707012672,NAVARRO S.A.,58182,NV12P,ON NAVARRO S.1 CL.2 V.29/10/26 $ CG,OBLIGACION NEGOCIABLE PYME,29/10/2024,29/10/2026,Pesos,NV
