prefijo,cuit,razon_social,sector,fuente,rating_lp,rating_cp,outlook,rating_date,fixscr_entity,source
ARC,30696170580,Aeropuertos Argentina 2000 S.A.,Infraestructura - Aeropuertos,manual_confirmado,AA+(arg),,Perspectiva Estable,2026-05-08 00:00:00,Aeropuertos Argentina 2000,fixscr
DEC,30690633635,Empresa Distrib. de Electricidad Salta S.A.,Energía - Electricidad,manual_confirmado,A+(arg),,Perspectiva Estable,2026-05-06 00:00:00,Empresa Distribuidora Electricidad de Salta S.A. (EDESA),fixscr
IRC,30524688673,IRSA Inversiones y Representaciones S.A.,Real Estate,manual_confirmado,AAA(arg),A1+(arg),Perspectiva Estable,2026-05-06 00:00:00,IRSA Inversiones y Representaciones S.A.,fixscr
MGC,30526552659,Pampa Energía S.A.,Energía - Electricidad,manual_confirmado,AAA(arg),A1+(arg),Perspectiva Estable,2026-03-27 00:00:00,Pampa Energia S.A.,fixscr
MSS,30607597193,MSU S.A.,Energía,manual_confirmado,A+(arg),,Perspectiva Estable,2026-05-05 00:00:00,MSU S.A.,fixscr
MTC,30547242331,Mastellone Hermanos S.A.,Alimentos - Lácteos,manual_confirmado,,,,,,
NBS,30710630670,Balanz Capital Valores S.A.,Financiero,manual_confirmado,A(arg),A2(arg),Perspectiva Estable,2026-05-06 00:00:00,Balanz Capital Valores S.A.U.,fixscr
PLC,30678224010,Pluspetrol S.A.,Energía - Petróleo y Gas,manual_confirmado,AAA(arg),,Perspectiva Estable,2026-05-06 00:00:00,Pluspetrol S.A.,fixscr
PN,30714813583,Pan American Energy LLC (PAE Sucursal),Energía - Petróleo y Gas,manual_confirmado,AAA(arg),A1+(arg),Perspectiva Estable,2026-05-06 00:00:00,Pan American Energy S.L. - Sucursal Argentina (PAME),fixscr
T6,30685376349,Tarjeta Naranja S.A.U.,Financiero - Consumo,manual_confirmado,AA(arg),A1+(arg),Perspectiva Estable,2026-04-29 00:00:00,Naranja Digital Compañía Financiera S.A.U.,fixscr
TTC,30592665472,Tecpetrol S.A.,Energía - Petróleo y Gas,manual_confirmado,AAA(arg),A1+(arg),Perspectiva Estable,2026-05-15 00:00:00,Tecpetrol S.A.,fixscr
XMC,30709667587,Minera Exar S.A.,Minería - Litio,manual_confirmado,AA(arg),,Perspectiva Estable,2026-05-08 00:00:00,Minera Exar S.A.,fixscr
397,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial,,,,,,
AB,30708142693,AGROBICIUFFA SRL,,afip_oficial,,,,,,
AFC,30604731018,Banco Comafi S.A.,Financiero - Bancos,afip_oficial,AA(arg),A1+(arg),Perspectiva Estable,2026-04-14 00:00:00,Banco Comafi S.A.,fixscr
AG,30640783199,ARGENSUN S.A,,afip_oficial,,,,,,
AHC,30501863129,RICARDO ALMAR E HIJOS S.A.,,afip_oficial,,,,,,
ALC,30716620472,ALPARGATAS TEXTIL S.A.,,afip_oficial,,,,,,
AT,30542790780,AGROTECNOLOGIA SALA S.A.,,afip_oficial,,,,,,
AV,30715595105,ASPRO SERVICIOS PETROLEROS SA,,afip_oficial,,,,,,
AWS,30678534214,ARBITRA S.A.,,afip_oficial,,,,,,
BCC,30576614299,Banco CMF S.A.,Financiero - Bancos,afip_oficial,A+(arg),A1(arg),Perspectiva Estable,2026-04-22 00:00:00,Banco CMF S.A.,fixscr
BDC,30707227415,Banco de Crédito y Securitización S.A.,Financiero - Bancos,afip_oficial,AA-(arg),A1+(arg),Perspectiva Estable,2026-05-06 00:00:00,BACS Banco de Crédito y Securitización S.A.,fixscr
BF,30500003193,BANCO BBVA ARGENTINA S.A.,,afip_oficial,AAA(arg),A1+(arg),Perspectiva Estable,2026-04-15 00:00:00,Banco BBVA Argentina S.A.,fixscr
BNCT,30500008454,BANCO SANTANDER ARGENTINA S.A,,afip_oficial,AAA(arg),A1+(arg),Perspectiva Estable,2026-04-30 00:00:00,Banco Santander Argentina S.A.,fixscr
BO,30710218192,PROCHEM BIO S.A.,,afip_oficial,,,,,,
BPC,33500005179,Banco Supervielle S.A.,Financiero - Bancos,afip_oficial,,,,,,
BSCR,30697265895,BANCO DE SERVICIOS FINANCIEROS S.A.,,afip_oficial,A+(arg),A1(arg),Perspectiva Estable,2026-05-18 00:00:00,Banco de Servicios Financieros Carrefour S.A.U.,fixscr
BT,30707810927,COMPAÑIA TSB SA,,afip_oficial,,,,,,
BUC,30517637498,BANCO COLUMBIA S.A.,,afip_oficial,BBB(arg),A3(arg),Perspectiva Negativa,2026-05-06 00:00:00,Banco Columbia S.A.,fixscr
