entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
Metalcred XVII,2026-03-11,Argentina,Finanzas Estructuradas,Facturas,VDFA,,BBB+sf(arg),RW Negativo,Baja
Metalcred XVII,2026-03-11,Argentina,Finanzas Estructuradas,Facturas,VDFB,,BB-sf(arg),RW Negativo,Baja
Metalcred XVII,2026-03-11,Argentina,Finanzas Estructuradas,Facturas,CP,,CCsf(arg),N.C,Confirma
Moni Mobile XV,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,A1+sf(arg),,N.C,Confirma
Moni Mobile XV,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,BBBsf(arg),Perspectiva Estable,Confirma
Waynimóvil X,2025-11-27,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,A1sf(arg),,N.C,Confirma
GDM PyMEs I,2026-05-14,Argentina,Finanzas Estructuradas,Cheques De Pago Diferido,VDF,A1+sf(arg),,N.C,Confirma
Mercado Crédito Consumo XIX,2024-12-17,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
Mercado Crédito XXXVII,2026-04-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF,,AAAsf(arg),Perspectiva Estable,Confirma
Mercado Crédito XXXVII,2026-04-06,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-01-29,Argentina,Finanzas Sostenibles,Empresas,Bono Verde - Obligaciones Negociable ...,,BV1(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-01-29,Argentina,Finanzas Sostenibles,Empresas,Bono Verde - Obligaciones Negociable ...,,BV1(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-01-29,Argentina,Finanzas Sostenibles,Empresas,Bono Verde - Obligaciones Negociable ...,,BV1(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Emisor,,A(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Obligaciones Negociables Simples Cla ...,,A(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Obligaciones Negociables Simples Cla ...,,A(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Obligaciones Negociables Simples Cla ...,,A(arg),Perspectiva Estable,Confirma
Accicom Préstamos Personales XII,2023-09-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Accicom Préstamos Personales XIII,2024-02-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Emisor,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por un valo ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por hasta U ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por hasta U ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por hasta U ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON Serie A en Unidades Indexadas Por ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON Serie B en Unidades Previsionales ...,,AAA(uy),Perspectiva Estable,Confirma
