issuer,cuit,sector,rating_lp,rating_cp,outlook,n_ons,total_volume,avg_liquidity_score,avg_spread_pct,avg_years_to_maturity
YPF S.A.,30546689979,Energía - Petróleo y Gas,AAA(arg),A1+(arg),Perspectiva Estable,42,4836404504.5,57.3826,4.1874,2.8425
Telecom Argentina S.A.,30639453738,Telecomunicaciones,AA+(arg),A1+(arg),Perspectiva Positiva,18,883882424.07,55.4934,4.5256,3.8715
Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,AAA(arg),A1+(arg),Perspectiva Estable,32,519750449.06,50.5124,8.9533,3.853
Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,AAA(arg),,Perspectiva Estable,7,458136244.7,57.182,,4.1005
Tarjeta Naranja S.A.U.,30685376349,Financiero - Consumo,AA(arg),A1+(arg),Perspectiva Estable,4,339978736.0,53.35,,0.9807
Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,AAA(arg),A1+(arg),Perspectiva Estable,6,337520424.47,61.3764,7.0974,2.4772
Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,AA(arg),A1+(arg),Perspectiva Estable,5,230849575.9,51.6837,,3.4956
Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,AAA(arg),A1+(arg),Perspectiva Estable,25,178755249.31,53.538,3.7795,1.5463
MSU S.A.,30607597193,Energía,A+(arg),,Perspectiva Estable,8,130922676.91,52.7692,2.9126,0.9473
Pampa Energía S.A.,30526552659,Energía - Electricidad,AAA(arg),A1+(arg),Perspectiva Estable,17,113331003.37,54.0445,2.8705,4.0954
EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,A+(arg),A1(arg),Perspectiva Estable,3,87906431.9,54.16,,2.4047
Capex S.A.,30629827060,Energía - Electricidad,AA(arg),,Perspectiva Estable,13,79963396.3,51.9586,4.0433,1.8773
John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,AA(arg),A1+(arg),Perspectiva Estable,10,69788397.11,54.6594,,1.465
Minera Exar S.A.,30709667587,Minería - Litio,AA(arg),,Perspectiva Estable,3,62316305.1,55.546,7.0,1.4511
