symbol,issuer,rating_lp,price,price_source,currency,maturity_date,ytm,macaulay_duration,modified_duration,current_yield,n_cashflows,cashflow_confidence,structure_type,next_payment_date,final_payment_date,primary_species,ytm_mep,ytm_cable,tir_dispersion_bp,has_desarbitraje,monto_primary,qty_ops_primary,spread_pct_primary
AERBO,[AER],,103.85,AERBD (USD),USD,2026-12-15,0.029975,0.4915,0.4842,0.052768,2,mae,bullet,2026-06-23,2026-12-15,MEP,0.029975,,0.0,False,2.07,2,1.9417
ARC1O,Aeropuertos Argentina 2000 S.A.,AA+(arg),103.0681,ARC1O (ARS/CCL),USD,2031-08-01,0.036965,2.3976,2.3541,0.07529,21,mae,amortizing,2026-08-01,2031-08-01,ARS/CCL,,,0.0,False,4620300.0,1,0.8016
CAC5O,Capex S.A.,AA(arg),67.37,CAC5D (USD),USD,2028-08-25,0.048409,1.1352,1.1084,0.085201,5,mae,amortizing,2026-08-25,2028-08-25,MEP,0.048409,,0.0,False,0.67,1,1.6752
CS47O,Cresud S.A.C.I.F. y A.,AAA(arg),103.45,CS47D (USD),USD,2028-11-15,0.057111,2.2631,2.2002,0.068246,5,mae,bullet,2026-11-15,2028-11-15,MEP,0.057111,,0.0,False,999.33,1,0.4369
CS48O,Cresud S.A.C.I.F. y A.,AAA(arg),106.9,CS48D (USD),USD,2028-07-11,0.061677,1.8959,1.8391,0.074836,5,confirmed,bullet,2026-07-11,2028-07-11,MEP,0.061677,,0.0,False,4713.58,10,0.3274
CS49O,Cresud S.A.C.I.F. y A.,AAA(arg),105.7049,CS49O (ARS/CCL),USD,2027-09-02,0.041262,1.1684,1.1448,0.068587,3,confirmed,bullet,2026-09-02,2027-09-02,ARS/CCL,,,0.0,False,88452.0,1,4.8199
DNC3O,EDENOR S.A.,A+(arg),102.15,DNC3D (USD),USD,2026-11-22,0.060696,0.4411,0.4281,0.095546,1,mae,bullet,2026-11-22,2026-11-22,MEP,0.060696,,0.0,False,137.9,1,0.049
DNC5O,EDENOR S.A.,A+(arg),108.05,DNC5D (USD),USD,2028-08-05,0.07096,1.9352,1.8689,0.087182,5,mae,bullet,2026-08-05,2028-08-05,MEP,0.07096,,0.0,False,6469.98,19,0.3716
EAC3O,MSU GREEN ENERGY S.A.U.,A+(arg),102.35,EAC3D (USD),USD,2028-12-20,0.092912,2.2269,2.128,0.082853,6,mae,bullet,2026-06-20,2028-12-20,MEP,0.092912,,0.0,False,511.75,1,0.9264
HJCIO,John Deere Credit Cía. Financiera S.A.,AA(arg),102.2,HJCID (USD),USD,2028-10-21,0.059258,2.2043,2.1409,0.063796,5,mae,bullet,2026-10-21,2028-10-21,MEP,0.059258,,0.0,False,14076.01,1,1.1742
IRCFO,IRSA Inversiones y Representaciones S.A.,AAA(arg),71.87,IRCFD (USD),USD,2028-06-22,0.03281,1.1426,1.1242,0.079032,5,mae,amortizing,2026-06-22,2028-06-22,MEP,0.03281,,0.0,False,126.88,4,0.0418
IRCJO,IRSA Inversiones y Representaciones S.A.,AAA(arg),103.396,IRCJO (ARS/CCL),USD,2027-02-28,0.050064,0.6927,0.6758,0.067701,2,mae,bullet,2026-08-28,2027-02-28,ARS/CCL,,,0.0,False,188490.0,2,2.3993
IRCNO,IRSA Inversiones y Representaciones S.A.,AAA(arg),103.6,IRCND (USD),USD,2027-10-22,0.047142,1.2949,1.2651,0.055019,4,mae,bullet,2026-07-22,2027-10-22,MEP,0.047142,,0.0,False,1463.88,8,0.3377
IRCOO,IRSA Inversiones y Representaciones S.A.,AAA(arg),108.3,IRCOD (USD),USD,2029-10-23,0.05447,2.9733,2.8944,0.066482,8,mae,bullet,2026-07-23,2029-10-23,MEP,0.05447,,0.0,False,368.31,7,0.6509
MGCNO,Pampa Energía S.A.,AAA(arg),103.95,MGCND (USD),USD,2028-10-04,0.044393,2.1757,2.1285,0.055411,5,mae,bullet,2026-10-04,2028-10-04,MEP,0.044393,,0.0,False,545.74,1,0.4847
MGCQO,Pampa Energía S.A.,AAA(arg),108.4,MGCQD (USD),USD,2028-08-06,0.043646,1.9852,1.9428,0.066882,5,confirmed,bullet,2026-08-06,2028-08-06,MEP,0.043646,,0.0,False,246.07,1,0.5107
MSSFO,MSU S.A.,A+(arg),103.0614,MSSFO (ARS/CCL),USD,2027-07-23,0.054375,0.9468,0.9218,0.072772,5,confirmed,amortizing,2026-07-23,2027-07-23,ARS/CCL,,,0.0,False,799260.0,2,5.6676
MTCGO,Mastellone Hermanos S.A.,,105.1,MTCGD (USD),USD,2026-06-30,-0.456423,0.0438,0.0568,0.052141,1,mae,bullet,2026-06-30,2026-06-30,MEP,-0.456423,,0.0,False,9957.17,1,0.2375
OTS2O,[OTS],,103.0,OTS2D (USD),USD,2027-04-24,0.046129,0.8351,0.8163,0.067961,4,mae,bullet,2026-07-24,2027-04-24,MEP,0.046129,,0.0,False,1274.51,3,0.6311
OZC3O,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,A+(arg),101.35,OZC3D (USD),USD,2027-11-29,0.072394,1.4035,1.3545,0.078934,3,confirmed,bullet,2026-11-29,2027-11-29,MEP,0.072394,,0.0,False,32.44,2,0.7455
PLC2O,Pluspetrol S.A.,AAA(arg),106.5,PLC2D (USD),USD,2030-01-27,0.057915,3.2224,3.1317,0.07061,8,mae,bullet,2026-10-27,2030-01-27,MEP,0.057915,,0.0,False,902.7,2,0.7512
PLC4O,Pluspetrol S.A.,AAA(arg),109.1,PLC4D (USD),USD,2032-05-30,0.06687,4.8421,4.6854,0.07791,12,confirmed,bullet,2026-11-30,2032-05-30,MEP,0.06687,,0.0,False,10910.0,2,0.0917
PN35O,Pan American Energy LLC (PAE Sucursal),AAA(arg),106.7,PN35D (USD),USD,2029-09-27,0.052452,2.9645,2.8888,0.065604,7,mae,bullet,2026-09-27,2029-09-27,MEP,0.052452,,0.0,False,501.49,2,0.4708
PN36O,Pan American Energy LLC (PAE Sucursal),AAA(arg),108.4,PN36D (USD),USD,2031-11-13,0.05568,4.5875,4.4633,0.067343,11,mae,bullet,2026-11-13,2031-11-13,MEP,0.05568,,0.0,False,338.02,3,0.9786
PN37O,Pan American Energy LLC (PAE Sucursal),AAA(arg),103.5834,PN37O (ARS/CCL),USD,2028-11-13,0.049023,2.274,2.2196,0.060821,5,mae,bullet,2026-11-13,2028-11-13,ARS/CCL,,,0.0,False,1505028.0,3,3.9075
PQCSO,Petroquímica Comodoro Rivadavia S.A.,AA(arg),102.5,PQCSD (USD),USD,2031-02-17,0.080086,3.8984,3.7483,0.078049,10,confirmed,bullet,2026-08-17,2031-02-17,MEP,0.080086,0.081391,13.1,False,15211.45,23,1.2195
RC2CO,ARCOR S.A.I.C.,AAA(arg),102.2,RC2CD (USD),USD,2026-10-06,0.023548,0.3123,0.3087,0.05773,1,confirmed,bullet,2026-10-06,2026-10-06,MEP,0.023548,,0.0,False,12.26,1,1.7613
SNABO,S.A. San Miguel,,76.9,SNABD (USD),USD,2026-07-29,4.348629,0.1233,0.0388,0.058257,1,mae,bullet,2026-07-29,2026-07-29,MEP,4.348629,,0.0,False,1.57,2,7.6685
TLCMO,Telecom Argentina S.A.,AA+(arg),115.7,TLCMD (USD),USD,2031-07-18,0.061688,3.4107,3.3087,0.082109,11,mae,amortizing,2026-07-18,2031-07-18,MEP,0.061688,,0.0,False,2314.0,1,0.6525
TLCOO,Telecom Argentina S.A.,AA+(arg),103.45,TLCOD (USD),USD,2028-11-28,0.056214,2.2989,2.236,0.068246,5,mae,bullet,2026-11-28,2028-11-28,MEP,0.056214,,0.0,False,1553.82,5,0.2417
TLCPO,Telecom Argentina S.A.,AA+(arg),111.35,TLCPD (USD),USD,2033-05-28,0.050919,5.6907,5.5494,0.062865,14,confirmed,bullet,2026-11-28,2033-05-28,MEP,0.050919,0.054772,38.5,False,8247.13,20,0.0449
TTC9O,Tecpetrol S.A.,AAA(arg),100.3845,TTC9O (ARS/CCL),USD,2029-10-24,0.069791,3.0359,2.9336,0.06774,7,confirmed,bullet,2026-10-24,2029-10-24,ARS/CCL,,,0.0,False,1513500.0,1,1.732
VSCOO,Vista Oil & Gas Argentina S.A.U.,,108.75,VSCOD (USD),USD,2027-03-06,-0.029189,0.7111,0.7216,0.05977,2,mae,bullet,2026-09-06,2027-03-06,MEP,-0.029189,,0.0,False,308.58,6,1.6355
VSCRO,Vista Oil & Gas Argentina S.A.U.,,108.6,VSCRD (USD),USD,2031-10-10,0.057343,3.739,3.6348,0.070718,11,mae,amortizing,2026-10-10,2031-10-10,MEP,0.057343,,0.0,False,1408.04,9,0.6903
YFCGO,YPF Energía Eléctrica S.A.,AAA(arg),103.85,YFCGD (USD),USD,2027-02-27,0.008985,0.696,0.6928,0.057776,3,mae,bullet,2026-08-27,2027-02-27,MEP,0.008985,,0.0,False,116.32,2,2.1141
YFCJO,YPF Energía Eléctrica S.A.,AAA(arg),108.4,YFCJD (USD),USD,2032-10-16,0.062821,4.4435,4.3082,0.072878,13,mae,amortizing,2026-10-16,2032-10-16,MEP,0.062821,,0.0,False,7519.5,4,0.6032
YFCKO,YPF Energía Eléctrica S.A.,AAA(arg),103.3,YFCKD (USD),USD,2026-11-22,-0.014585,0.4379,0.4411,0.051113,2,mae,bullet,2026-08-22,2026-11-22,MEP,-0.014585,,0.0,False,46.14,2,2.6826
YFCLO,YPF Energía Eléctrica S.A.,AAA(arg),104.45,YFCLD (USD),USD,2028-11-22,0.050161,2.2687,2.2132,0.065103,10,mae,bullet,2026-08-22,2028-11-22,MEP,0.050161,,0.0,False,99.23,1,1.3586
YM34O,YPF S.A.,AAA(arg),112.7,YM34D (USD),USD,2034-01-17,0.064983,5.1831,5.02,0.072582,16,mae,amortizing,2026-07-17,2034-01-17,MEP,0.064983,0.071665,66.8,False,65106.04,46,0.1778
