symbol,issuer,cuit,sector,currency,settlement,price,bid,ask,volume,spread_abs,spread_pct,years_to_maturity,maturity_date,liquidity_score,is_mapped
MGCRX,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,162330.0,0.0,0.0,5674650000.0,,,11.373,2037-11-14,72.56,True
PNRCX,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,1,143500.0,0.0,0.0,3860257500.0,,,2.1027,2028-08-07,71.91,True
AFCQX,Banco Comafi S.A.,30604731018,Financiero - Bancos,ARS,2,152760.0,0.0,0.0,2432800304.1,,,1.4319,2027-12-06,71.89,True
WBS3O,BANCO MARIVA S.A.,30516420444,,ARS,1,152500.0,0.0,0.0,1976217000.0,,,1.013,2027-07-06,73.32,True
YM34O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,170940.0,170900.0,170940.0,1353563208.7,40.0,0.0234,7.5483,2034-01-17,99.86,True
VBC2O,[VBC],,Sin mapear,ARS,1,156480.0,154490.0,160090.0,1228431393.9,5600.0,3.6248,0.1807,2026-09-05,86.43,False
PLC7O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,2,154110.0,154020.0,154140.0,1121382600.0,120.0,0.0779,11.2498,2037-09-30,99.44,True
MGCOO,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,163150.0,163410.0,163600.0,816194000.0,190.0,0.1163,8.46,2034-12-16,97.69,True
VSCXO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,165590.0,165400.0,165610.0,783892900.0,210.0,0.127,11.77,2038-04-08,98.89,True
TLCPO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,2,169970.0,169820.0,169990.0,738107679.1,170.0,0.1001,6.9076,2033-05-28,99.11,True
PLC4O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,2,165350.0,165380.0,165560.0,606916200.0,180.0,0.1088,5.9138,2032-05-30,98.71,True
DNCAO,EDENOR S.A.,30655116202,,ARS,2,160900.0,160700.0,160900.0,430163970.0,200.0,0.1245,6.8255,2033-04-28,98.79,True
YMCIO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,140250.0,140250.0,140260.0,430113846.6,10.0,0.0071,3.0034,2029-07-02,99.65,True
MGCRO,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,162640.0,162010.0,162690.0,412691400.0,680.0,0.4197,11.373,2037-11-14,95.7,True
CP38O,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,ARS,2,163890.0,162900.0,163900.0,411218270.0,1000.0,0.6139,4.4107,2030-11-28,95.13,True
YMCJO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,162830.0,162830.0,163080.0,401554426.3,250.0,0.1535,7.2498,2033-09-30,98.54,True
YMCXO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,172760.0,172810.0,172980.0,387931587.2,170.0,0.0984,5.1964,2031-09-11,98.98,True
IRCPO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,ARS,2,167300.0,167280.0,167360.0,370837946.1,80.0,0.0478,8.7474,2035-03-31,99.45,True
YM37O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,159100.0,159100.0,159290.0,255079566.0,190.0,0.1194,0.8487,2027-05-07,98.47,True
MR46O,Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,ARS,2,128960.0,128980.0,130280.0,246922648.7,1300.0,1.0079,8.501,2034-12-31,92.42,True
EAC4O,MSU GREEN ENERGY S.A.U.,30714155128,,ARS,2,156600.0,156300.0,156600.0,241935857.0,300.0,0.1919,9.9603,2036-06-16,98.1,True
YM39O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,174270.0,174020.0,174270.0,230418260.5,250.0,0.1437,4.0575,2030-07-22,98.34,True
RUCDO,CERAMICA RUTA 16 S.R.L.,30710080085,,ARS,2,161880.0,161740.0,161990.0,193846926.3,250.0,0.1546,4.4298,2030-12-05,98.31,True
TLCTO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,2,170990.0,170900.0,170990.0,187330144.4,90.0,0.0527,9.5551,2036-01-20,99.16,True
VSCVO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,168600.0,168420.0,168600.0,175357600.0,180.0,0.1069,6.9432,2033-06-10,98.25,True
TLCMO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,2,177750.0,177750.0,177950.0,171738700.0,200.0,0.1125,5.0459,2031-07-18,97.97,True
PLC5O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,2,164560.0,163960.0,164600.0,167414900.0,640.0,0.3903,4.8789,2031-05-18,95.8,True
MCC3O,[MCC],,Sin mapear,ARS,2,154580.0,153260.0,154590.0,153032458.1,1330.0,0.8678,3.8604,2030-05-11,93.07,False
PN38O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,164900.0,164890.0,165960.0,151426087.5,1070.0,0.6489,1.1116,2027-08-11,92.87,True
VSCWO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,158000.0,158000.0,158330.0,146244699.0,330.0,0.2089,0.7036,2027-03-15,96.42,True
DNC3O,EDENOR S.A.,30655116202,,ARS,2,156500.0,156400.0,156500.0,125900531.4,100.0,0.0639,0.3943,2026-11-22,98.67,True
VSCUO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,165170.0,164230.0,165260.0,116191001.0,1030.0,0.6272,3.6824,2030-03-07,94.65,True
TTCEO,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,ARS,2,154000.0,153510.0,154000.0,115664314.0,490.0,0.3192,2.8884,2029-05-21,96.12,True
PN35O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,163130.0,162380.0,163130.0,109558285.5,750.0,0.4619,3.2416,2029-09-27,95.75,True
TTCDO,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,ARS,2,164000.0,163610.0,164570.0,108434000.0,960.0,0.5868,4.3422,2030-11-03,93.95,True
VSCRO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,165040.0,165020.0,165340.0,100373713.6,320.0,0.1939,5.2758,2031-10-10,97.67,True
TSC4O,[TSC],,Sin mapear,ARS,2,163650.0,163520.0,163690.0,96738500.0,170.0,0.104,9.3881,2035-11-20,97.81,False
BACHO,[BAC],,Sin mapear,ARS,2,167000.0,166220.0,167000.0,90180000.0,780.0,0.4693,4.5777,2031-01-28,93.65,False
YM38O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,159400.0,160100.0,160800.0,87792055.7,700.0,0.4372,1.0568,2027-07-22,95.54,True
DNC5O,EDENOR S.A.,30655116202,,ARS,2,166350.0,166250.0,166350.0,85441463.0,100.0,0.0602,2.0972,2028-08-05,98.69,True
YM42O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,160320.0,160160.0,160320.0,76916865.5,160.0,0.0999,2.6694,2029-03-02,97.88,True
NPCDO,[NPC],,Sin mapear,ARS,2,153850.0,153600.0,154210.0,76776572.9,610.0,0.3971,3.8303,2030-04-30,95.2,False
YM34O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,170760.0,170840.0,171340.0,76768760.4,500.0,0.2927,7.5483,2034-01-17,96.59,True
VSCOO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,2,166400.0,165430.0,166400.0,74342621.5,970.0,0.5864,0.679,2027-03-06,94.55,True
MGCTO,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,156480.0,156000.0,156780.0,70332200.0,780.0,0.5,2.7515,2029-04-01,93.59,True
TLCOO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,2,158270.0,157830.0,158510.0,67447864.9,680.0,0.4308,2.412,2028-11-28,95.52,True
MCC1O,[MCC],,Sin mapear,ARS,2,159600.0,159600.0,164000.0,61573944.8,4400.0,2.7569,2.6913,2029-03-10,87.57,False
CS49O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,2,160260.0,160510.0,163910.0,60544044.1,3400.0,2.1182,1.1718,2027-09-02,88.63,True
YFCJO,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,ARS,2,163040.0,163100.0,164120.0,60430700.0,1020.0,0.6254,6.2943,2032-10-16,93.09,True
BACGO,[BAC],,Sin mapear,ARS,2,163370.0,161930.0,163340.0,58340100.0,1410.0,0.8707,2.9788,2029-06-23,91.2,False
DNC7O,EDENOR S.A.,30655116202,,ARS,2,166380.0,166400.0,166560.0,53263090.0,160.0,0.0962,4.3149,2030-10-24,97.76,True
MIC6O,MIRGOR S.A.,30578036071,,ARS,2,152790.0,151900.0,152800.0,52750251.6,900.0,0.5925,1.9083,2028-05-28,93.62,True
PN43O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,169790.0,169020.0,169970.0,52533400.0,950.0,0.5621,10.5435,2037-01-15,93.09,True
TTCAO,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,ARS,2,169000.0,169330.0,171070.0,52417300.0,1740.0,1.0276,6.5626,2033-01-22,90.14,True
PECNO,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,,ARS,2,103000.0,102360.0,103000.0,52046275.0,640.0,0.6252,6.152,2032-08-25,92.72,True
IRCFO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,ARS,2,77950.0,77420.0,77890.0,49234125.0,470.0,0.6071,1.9767,2028-06-22,94.25,True
MCC3O,[MCC],,Sin mapear,ARS,1,153100.0,153230.0,154490.0,46969923.6,1260.0,0.8223,3.8604,2030-05-11,91.67,False
YMCXO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,172950.0,172700.0,173130.0,46500071.8,430.0,0.249,5.1964,2031-09-11,96.31,True
YMCYO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,159200.0,159120.0,159200.0,46141419.4,80.0,0.0503,2.2779,2028-10-10,97.77,True
TLCQO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,2,159000.0,157560.0,159000.0,44841373.2,1440.0,0.9139,1.0021,2027-07-02,91.64,True
PLC7O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,1,154080.0,153630.0,154390.0,44662100.0,760.0,0.4947,11.2498,2037-09-30,93.55,True
SNEBO,SION S.A.,30690076043,,ARS,2,114690.0,107500.0,113890.0,43834604.2,6390.0,5.9442,3.0363,2029-07-14,85.08,True
IRCOO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,ARS,2,165070.0,165000.0,165330.0,43123766.0,330.0,0.2,3.3128,2029-10-23,96.67,True
MR47O,Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,ARS,2,64000.0,64000.0,65750.0,43029362.4,1750.0,2.7344,9.9986,2036-06-30,87.79,True
HJCKO,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,ARS,2,162000.0,162000.0,162990.0,41923300.0,990.0,0.6111,2.5462,2029-01-16,92.67,True
PQCSO,Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,ARS,2,163890.0,161010.0,163890.0,38614096.5,2880.0,1.7887,4.6324,2031-02-17,89.48,True
IRCPO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,ARS,1,167190.0,167160.0,167310.0,34861491.3,150.0,0.0897,8.7474,2035-03-31,97.4,True
MGCQO,Pampa Energía S.A.,30526552659,Energía - Electricidad,ARS,2,165500.0,165510.0,166260.0,34694640.2,750.0,0.4531,2.0999,2028-08-06,94.61,True
RUCEO,CERAMICA RUTA 16 S.R.L.,30710080085,,ARS,2,154500.0,154200.0,154500.0,32001150.0,300.0,0.1946,1.3306,2027-10-30,96.15,True
RUCDO,CERAMICA RUTA 16 S.R.L.,30710080085,,ARS,1,161110.0,161110.0,162790.0,30691305.1,1680.0,1.0428,4.4298,2030-12-05,90.66,True
OTS6O,[OTS],,Sin mapear,ARS,2,161590.0,158000.0,161590.0,30391622.7,3590.0,2.2722,3.0773,2029-07-29,86.62,False
PN36O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,2,164000.0,164000.0,164410.0,30344221.7,410.0,0.25,5.3689,2031-11-13,95.82,True
YM40O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,2,160940.0,159840.0,161070.0,28853563.7,1230.0,0.7695,2.1602,2028-08-28,91.2,True
ZZC1O,[ZZC],,Sin mapear,ARS,2,159800.0,158010.0,159800.0,28599580.5,1790.0,1.1328,0.6434,2027-02-21,90.35,False
VSCXO,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,ARS,1,165310.0,165100.0,165890.0,28093100.0,790.0,0.4785,11.77,2038-04-08,93.27,True
YMCIO,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,140220.0,140150.0,140220.0,27052522.4,70.0,0.0499,3.0034,2029-07-02,97.03,True
TLCPO,Telecom Argentina S.A.,30639453738,Telecomunicaciones,ARS,1,169500.0,169270.0,170270.0,26935822.8,1000.0,0.5908,6.9076,2033-05-28,93.26,True
PLC6O,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,ARS,2,160190.0,159800.0,163090.0,26783177.3,3290.0,2.0588,2.6612,2029-02-27,87.9,True
YM39O,YPF S.A.,30546689979,Energía - Petróleo y Gas,ARS,1,173250.0,173300.0,173900.0,26582722.3,600.0,0.3462,4.0575,2030-07-22,93.91,True
PN35O,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,ARS,1,164680.0,161680.0,164640.0,26509584.0,2960.0,1.8308,3.2416,2029-09-27,88.22,True
ARC1O,Aeropuertos Argentina 2000 S.A.,30696170580,Infraestructura - Aeropuertos,ARS,2,164900.0,164710.0,165830.0,26360400.0,1120.0,0.68,5.0842,2031-08-01,91.22,True
CICAO,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,ARS,2,153800.0,153800.0,155940.0,26319805.8,2140.0,1.3914,1.9247,2028-06-03,89.42,True
YFCNO,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,ARS,2,156900.0,156900.0,157100.0,24464828.2,200.0,0.1275,0.2574,2026-10-03,95.4,True
RC1CO,ARCOR S.A.I.C.,30502793175,,ARS,2,172020.0,170100.0,171940.0,23898800.0,1840.0,1.0817,7.0828,2033-07-31,89.05,True
LOC5O,[LOC],,Sin mapear,ARS,2,162660.0,162730.0,163680.0,23606070.0,950.0,0.5838,1.0623,2027-07-24,92.16,False
GN49O,Genneia S.A.,30665234114,Energía - Renovable,ARS,2,162000.0,161060.0,161990.0,22621800.0,930.0,0.5774,7.4223,2033-12-02,92.2,True
OT42O,[OT4],,Sin mapear,ARS,2,165300.0,163510.0,165000.0,22437486.9,1490.0,0.9113,3.5483,2030-01-17,91.14,False
DNCAO,EDENOR S.A.,30655116202,,ARS,1,160750.0,160800.0,161120.0,22105350.0,320.0,0.199,6.8255,2033-04-28,94.74,True
OZC3O,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,ARS,2,155160.0,154250.0,155360.0,21986354.6,1110.0,0.7196,1.4127,2027-11-29,91.89,True
CS47O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,2,158700.0,158200.0,162490.0,21667231.2,4290.0,2.7118,2.3765,2028-11-15,86.81,True
