volumen_nominal,ticker,imbalance,precio_settlement_anterior,precio_venta,openInterest,precio_promedio,description,cantidad_operaciones,apertura,tickDirection,securityDesc,securitySubType,fecha_vencimiento,precio_cierre_anterior,tipo_liquidacion,cantidad_venta,maximo,moneda,precio_compra,minimo,mercado,monto_operado,volume,ultimo_precio,dias_al_vencimiento,tipo_instrumento,closingPrice,settlementPrice,cantidad_compra,hora_ultimo_trade,years_to_maturity,spread_abs,spread_pct,liquidity_score,issuer,cuit,sector,is_mapped
77000.0,VSCXO,-0.024399999999999998,167700.0,163600.0,0.0,163630.9090909,,31,167700.0,-1,,,2038-04-08,167700.0,2,6000.0,167700.0,ARS,163230.0,163230.0,BYMA,125995800.0,77000.0,163600.0,4300,CORP,0.0,163600.0,16000.0,11:32:24,11.7728,370.0,0.2267,98.85,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True
63742.0,TLCTO,0.0044,168600.0,169350.0,0.0,169386.9487936,,69,170020.0,-1,,,2036-01-20,168600.0,2,46911.0,171500.0,ARS,169000.0,168110.0,BYMA,107970628.9,63742.0,169350.0,3491,CORP,0.0,169350.0,20000.0,11:32:36,9.5578,350.0,0.2071,98.98,Telecom Argentina S.A.,30639453738,Telecomunicaciones,True
62281.0,YM34O,0.0027,168900.0,169360.0,0.0,169295.3017774,,202,169670.0,2,,,2034-01-17,168900.0,2,3500.0,170940.0,ARS,169040.0,168820.0,BYMA,105438806.9,62281.0,169360.0,2758,CORP,0.0,169360.0,1100.0,11:32:49,7.551,320.0,0.1893,99.16,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
47574.0,IRCPO,0.005699999999999999,164200.0,165230.0,0.0,165052.9448859,,112,165180.0,2,,,2035-03-31,164200.0,2,6571.0,165290.0,ARS,164880.0,164030.0,BYMA,78522288.0,47574.0,165140.0,3196,CORP,0.0,165140.0,2500.0,11:32:41,8.7502,350.0,0.2123,98.97,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,True
49588.0,EAC4O,0.0038,154500.0,155100.0,0.0,155145.0036299,,32,157400.0,-1,,,2036-06-16,154500.0,2,3000.0,157400.0,ARS,154500.0,154500.0,BYMA,76933304.4,49588.0,155100.0,3639,CORP,0.0,155100.0,117.0,11:26:39,9.963,600.0,0.3883,97.88,MSU GREEN ENERGY S.A.U.,30714155128,,True
47100.0,CP38O,-0.0167,163980.0,161160.0,0.0,161341.7409766,,13,163980.0,2,,,2030-11-28,163980.0,2,30000.0,163980.0,ARS,160500.0,161000.0,BYMA,75991960.0,47100.0,161230.0,1612,CORP,0.0,161230.0,2800.0,11:31:09,4.4134,660.0,0.4112,97.48,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,True
39052.0,TLCPO,-0.0108,170240.0,168400.0,0.0,168669.0187442,,83,170000.0,-1,,,2033-05-28,170240.0,2,4524.0,170000.0,ARS,168360.0,168200.0,BYMA,65868625.2,39052.0,168400.0,2524,CORP,0.0,168400.0,361.0,11:32:20,6.9103,40.0,0.0238,99.78,Telecom Argentina S.A.,30639453738,Telecomunicaciones,True
31600.0,DNCAO,0.0022,158130.0,158880.0,0.0,158412.6265823,,28,159440.0,2,,,2033-04-28,158130.0,2,30900.0,159440.0,ARS,158500.0,158050.0,BYMA,50058390.0,31600.0,158490.0,2494,CORP,0.0,158490.0,1000.0,11:25:45,6.8282,380.0,0.2397,98.52,EDENOR S.A.,30655116202,,True
31000.0,MGCRO,0.003,161370.0,161770.0,0.0,161415.1612903,,3,160580.0,0,,,2037-11-14,161370.0,2,54000.0,161870.0,ARS,160950.0,160580.0,BYMA,50038700.0,31000.0,161870.0,4155,CORP,0.0,161870.0,10000.0,11:28:10,11.3758,820.0,0.5095,95.85,Pampa Energía S.A.,30526552659,Energía - Electricidad,True
29745.0,YMCJO,0.0034000000000000002,160490.0,161140.0,0.0,160624.2457556,,94,161040.0,2,,,2033-09-30,160490.0,2,12411.0,161060.0,ARS,161050.0,158010.0,BYMA,47777681.9,29745.0,161050.0,2649,CORP,0.0,161050.0,491.0,11:32:42,7.2526,90.0,0.0559,99.61,YPF S.A.,30546689979,Energía - Petróleo y Gas,True
