symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,modified_duration,current_yield,volume,liquidity_score,peer_count,peer_avg_ytm,peer_std_ytm,spread_vs_peers,spread_bps,percentile,rv_score,peer_group,peer_unique_issuers,peer_same_issuer_count,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,is_outlier,maturity_date,n_cashflows,cashflow_confidence
AERBO,[AER],,Unrated,Sin mapear,USD,102.35,0.009411,0.3014,0.3,0.051588,237562.8,85.23,,,,,,,,,,,,,,,,True,2026-12-15,1,mae
ARC1O,Aeropuertos Argentina 2000 S.A.,AA+(arg),AA,Infraestructura - Aeropuertos,USD,106.6,-0.000699,2.418,2.4189,0.069418,14773900.0,94.58,10.0,0.040918,0.063555,-0.041617,-416.2,10.0,-0.655,USD/AA/dur±1.5y,5.0,0.0,0.0,cross_credit,95.8688,-10.07,-10.06,False,2031-08-01,20,mae
BYCWO,Banco de Galicia y Buenos Aires S.A.,AAA(arg),AAA,Financiero - Bancos,USD,102.7,0.01593,0.2603,0.2582,0.060857,0.0,43.82,,,,,,,,,,,,,,,,True,2026-11-30,1,confirmed
CAC5O,Capex S.A.,AA(arg),AA,Energía - Electricidad,USD,52.24,0.055103,1.2043,1.1721,0.089204,4153064.8,81.64,8.0,0.019498,0.065934,0.035605,356.1,75.0,0.54,USD/AA/dur±1.5y,5.0,1.0,0.125,cross_credit,54.4201,4.17,4.29,False,2028-08-25,4,mae
CACBO,Capex S.A.,AA(arg),AA,Energía - Electricidad,USD,64.7188,-0.13627,1.0751,1.1537,0.071463,0.0,48.23,8.0,0.043419,0.020203,-0.17969,-1796.9,0.0,-8.894,USD/AA/dur±1.5y,5.0,1.0,0.125,cross_credit,51.3021,-20.73,-19.32,False,2028-06-17,4,confirmed
CS47O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,104.1,0.059686,2.0598,2.0001,0.067819,10208446.0,92.94,22.0,0.048749,0.006598,0.010937,109.4,100.0,1.658,USD/AAA/dur±1.5y,8.0,2.0,0.091,cross_credit,106.3772,2.19,2.25,False,2028-11-15,5,mae
CS48O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,105.3,0.055511,1.7643,1.7167,0.075973,10543289.6,94.46,22.0,0.046932,0.010119,0.008579,85.8,86.4,0.848,USD/AAA/dur±1.5y,8.0,2.0,0.091,cross_credit,106.8508,1.47,1.51,False,2028-07-11,4,confirmed
CS49O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,105.5,0.052095,0.9652,0.9407,0.06872,2550911.5,89.73,17.0,0.044877,0.010528,0.007218,72.2,82.4,0.686,USD/AAA/dur±1.5y,8.0,2.0,0.118,cross_credit,106.2163,0.68,0.7,False,2027-09-02,3,confirmed
DNC3O,EDENOR S.A.,A+(arg),A,,USD,103.9,0.039777,0.2384,0.2337,0.093936,71459951.2,96.73,,,,,,,,,,,,,,,,True,2026-11-22,1,mae
DNC5O,EDENOR S.A.,A+(arg),A,,USD,103.6,0.077868,1.8124,1.7445,0.092471,121361614.4,98.81,3.0,0.066903,0.007055,0.010965,109.6,100.0,1.554,USD/A/dur±1.5y,3.0,0.0,0.0,cross_credit,105.5816,1.91,1.99,False,2028-08-05,4,mae
EAC3O,MSU GREEN ENERGY S.A.U.,A+(arg),A,,USD,103.9,0.073834,2.1243,2.0487,0.082002,30011900.0,92.25,3.0,0.068248,0.009119,0.005586,55.9,66.7,0.613,USD/A/dur±1.5y,3.0,0.0,0.0,cross_credit,105.089,1.14,1.19,False,2028-12-20,5,mae
HJCHO,John Deere Credit Cía. Financiera S.A.,AA(arg),AA,Financiero - Crédito Industrial,USD,102.65,0.055839,1.3419,1.3055,0.068777,20860180.0,83.46,8.0,0.019406,0.065877,0.036433,364.3,87.5,0.553,USD/AA/dur±1.5y,5.0,3.0,0.375,cross_credit,107.5324,4.76,4.89,False,2028-01-17,3,mae
HJCIO,John Deere Credit Cía. Financiera S.A.,AA(arg),AA,Financiero - Crédito Industrial,USD,103.45,0.059095,2.0016,1.9442,0.063026,18568014.4,89.26,10.0,0.030241,0.062835,0.028854,288.5,80.0,0.459,USD/AA/dur±1.5y,5.0,3.0,0.3,cross_credit,109.2534,5.61,5.78,False,2028-10-21,5,mae
HJCJO,John Deere Credit Cía. Financiera S.A.,AA(arg),AA,Financiero - Crédito Industrial,USD,103.8,0.02892,0.8942,0.8815,0.06262,14341200.0,92.36,7.0,0.026124,0.071757,0.002796,28.0,14.3,0.039,USD/AA/dur±1.5y,4.0,3.0,0.429,cross_credit,104.0559,0.25,0.25,False,2027-07-25,2,estimated
HJCKO,John Deere Credit Cía. Financiera S.A.,AA(arg),AA,Financiero - Crédito Industrial,USD,104.2,0.044178,2.2528,2.2041,0.057582,4815000.0,83.92,10.0,0.031732,0.063378,0.012446,124.5,30.0,0.196,USD/AA/dur±1.5y,5.0,3.0,0.3,cross_credit,107.0584,2.74,2.8,False,2029-01-16,5,estimated
IRCFO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,51.55,0.037593,1.3805,1.355,0.080698,10242121.4,93.92,21.0,0.047203,0.009965,-0.00961,-96.1,4.8,-0.964,USD/AAA/dur±1.5y,8.0,2.0,0.095,cross_credit,50.8787,-1.3,-1.33,False,2028-06-22,4,mae
IRCJO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,104.0,0.058872,0.4899,0.4759,0.067308,15499943.0,92.6,,,,,,,,,,,,,,,,True,2027-02-28,2,mae
IRCNO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,101.3,0.050909,1.1257,1.0977,0.057256,24705.6,80.79,18.0,0.04521,0.01032,0.005699,57.0,66.7,0.552,USD/AAA/dur±1.5y,8.0,1.0,0.056,cross_credit,101.9337,0.63,0.64,False,2027-10-22,3,mae
IRCOO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,105.0,0.057421,2.8671,2.787,0.069524,44056730.4,97.25,19.0,0.052364,0.007699,0.005057,50.6,73.7,0.657,USD/AAA/dur±1.5y,8.0,1.0,0.053,cross_credit,106.4797,1.41,1.45,False,2029-10-23,7,mae
