symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,rv_score,spread_bps,peer_count,peer_unique_issuers,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,cashflow_confidence,structure_type,n_cashflows,cashflow_quality_score,signal_confidence_score,execution_score,liquidity_percentile,market_quality_score,days_stale,spread_bps_current,primary_species,tir_dispersion_bp,has_desarbitraje,signal_category,signal_label,alerts,alert_count,is_outlier,maturity_date
AERBO,[AER],,Unrated,Sin mapear,USD,100.8,0.039218,0.4658,,,,,,,,,,mae,bullet,1,66.6,40.8,76.0,16.7,82.4,0.0,33.11,MEP,0.0,False,NEUTRO,,,0,True,2026-12-15
ARC1O,Aeropuertos Argentina 2000 S.A.,AA+(arg),AA,Infraestructura - Aeropuertos,USD,107.75,0.018637,2.4002,-0.551,-269.6,11.0,5.0,0.0,cross_credit,100.842,-6.41,-6.47,mae,amortizing,21,83.0,81.5,87.3,75.0,86.1,0.0,22.34,MEP,132.0,False,NEUTRO,,,0,False,2031-08-01
CAC5O,Capex S.A.,AA(arg),AA,Energía - Electricidad,USD,66.5,0.062349,1.0901,0.645,335.2,8.0,5.0,0.125,cross_credit,68.8562,3.54,3.65,mae,amortizing,5,71.0,75.5,75.9,33.3,78.4,0.0,55.31,MEP,292.8,True,NEUTRO,,desarbitraje,1,False,2028-08-25
CACBO,Capex S.A.,AA(arg),AA,Energía - Electricidad,USD,62.5,-0.091817,1.2247,-7.438,-1399.2,8.0,5.0,0.125,cross_credit,51.2748,-17.96,-17.14,confirmed,amortizing,4,84.4,82.2,38.8,0.0,73.3,0.0,378.24,MEP,0.0,False,POSIBLE_OPORTUNIDAD,POSIBLE OPORTUNIDAD — REQUIERE VALIDACIÓN,,0,False,2028-06-17
CS45O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,100.5224,0.168295,0.1507,,,,,,,,,,confirmed,bullet,1,81.6,48.3,47.0,0.0,68.1,0.0,,ARS/CCL,0.0,False,NEUTRO,,,0,True,2026-08-22
CS47O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,103.3,0.058782,2.2244,1.523,114.0,23.0,8.0,0.087,cross_credit,105.8454,2.46,2.54,mae,bullet,5,73.0,76.5,48.0,20.8,80.7,0.0,240.93,MEP,0.0,False,POTENCIALMENTE_BARATO,POTENCIALMENTE BARATO,,0,False,2028-11-15
CS48O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,107.5,0.059865,1.8579,1.545,141.5,24.0,8.0,0.083,cross_credit,110.2443,2.55,2.63,confirmed,bullet,5,88.0,84.0,85.5,68.1,91.4,0.0,49.72,MEP,200.7,True,POTENCIALMENTE_BARATO,POTENCIALMENTE BARATO,desarbitraje,1,False,2028-07-11
CS49O,Cresud S.A.C.I.F. y A.,AAA(arg),AAA,Agro - Real Estate,USD,105.55,0.044003,1.1299,-0.037,-3.6,19.0,8.0,0.105,cross_credit,105.5076,-0.04,-0.04,confirmed,bullet,3,84.8,82.4,65.8,0.0,78.8,0.0,66.5,MEP,0.0,False,NEUTRO,,,0,False,2027-09-02
DNC3O,EDENOR S.A.,A+(arg),A,,USD,102.1,0.067828,0.4027,,,,,,,,,,mae,bullet,1,66.6,40.8,93.6,88.9,93.5,0.0,18.96,MEP,750.4,True,NEUTRO,,desarbitraje,1,True,2026-11-22
DNC5O,EDENOR S.A.,A+(arg),A,,USD,109.5,0.065153,1.8984,-0.447,-55.5,3.0,3.0,0.0,cross_credit,108.382,-1.02,-1.05,mae,bullet,5,73.0,69.0,88.5,79.2,90.5,0.0,59.77,MEP,37.4,False,NEUTRO,,,0,False,2028-08-05
EAC3O,MSU GREEN ENERGY S.A.U.,A+(arg),A,,USD,101.1,0.080826,2.2869,1.739,153.4,3.0,3.0,0.0,cross_credit,104.5098,3.37,3.51,mae,bullet,5,73.0,69.0,76.7,26.4,81.1,0.0,19.189999999999998,MEP,0.0,False,POTENCIALMENTE_BARATO,POTENCIALMENTE BARATO,,0,False,2028-12-20
HJCHO,John Deere Credit Cía. Financiera S.A.,AA(arg),AA,Financiero - Crédito Industrial,USD,104.3,0.061803,1.4578,0.633,329.0,8.0,5.0,0.375,cross_credit,109.1526,4.65,4.8,mae,bullet,4,71.4,75.7,51.5,63.9,80.1,0.0,161.08,MEP,0.0,False,NEUTRO,,,0,False,2028-01-17
