issuer,cuit,sector,is_mapped,cantidad_ons,con_trade,volumen_total,liquidity_score_promedio,spread_pct_promedio,spread_pct_median,years_to_maturity_promedio
Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,True,58,42,6974725383.46,53.428,1.7108,0.5543,4.0374
Pampa Energía S.A.,30526552659,Energía - Electricidad,True,34,27,5332125895.42,58.2236,1.1742,0.6635,5.2227
YPF S.A.,30546689979,Energía - Petróleo y Gas,True,81,59,2861553210.29,55.8673,2.4697,0.4793,3.0362
Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,True,28,21,2727125056.33,56.9298,1.8636,1.0441,3.4597
Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,True,69,40,2571609109.69,52.6313,2.3764,0.7308,3.0775
Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,True,31,32,2291526603.31,65.8773,1.2779,0.493,4.6973
EDENOR S.A.,30655116202,,True,28,29,1933260726.84,63.9982,0.5378,0.2926,3.1582
YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,True,34,23,1660076001.49,57.5806,2.0359,1.624,2.1002
Telecom Argentina S.A.,30639453738,Telecomunicaciones,True,43,35,1296144259.38,58.6021,1.3795,0.5529,3.7664
[TSC],,Sin mapear,False,9,7,1054244532.0,59.7856,0.4318,0.3389,6.4686
IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,True,24,20,470637113.83,59.2183,1.218,0.9615,2.6764
MSU GREEN ENERGY S.A.U.,30714155128,,True,14,11,343661034.67,57.4382,1.1249,0.9922,4.3188
OLEODUCTOS DEL VALLE S.A.,30658840165,,True,19,8,272870294.81,47.6816,1.9768,1.6074,2.3236
CERAMICA RUTA 16 S.R.L.,30710080085,,True,10,9,270397728.41,64.7181,0.6902,0.5394,3.0384
[MCC],,Sin mapear,False,11,9,259347529.23,61.8078,2.2602,1.9802,2.1944
John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,True,21,15,237789922.22,54.8657,4.3308,3.285,1.4344
Minera Exar S.A.,30709667587,Minería - Litio,True,5,4,221478235.85,64.3443,1.2213,1.3151,1.3279
Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,True,46,26,161267431.81,52.5025,1.753,1.8401,1.4628
[LOC],,Sin mapear,False,8,8,159339517.93,65.2692,1.1254,1.3891,1.7204
Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,True,16,7,120354028.99,46.0232,4.0336,2.118,2.2475
Cía. General de Combustibles S.A.,30506733932,Energía - Gas,True,11,8,118831052.67,55.2185,1.9637,0.9647,2.2676
[NPC],,Sin mapear,False,6,10,108879939.76,78.3618,1.7789,1.9888,3.4243
[BAC],,Sin mapear,False,18,6,100017657.5,45.9944,0.507,0.6354,2.5309
Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,True,9,8,84744218.81,60.7781,21.2288,2.9148,9.027
RIZOBACTER ARGENTINA S.A.,30593174057,,True,7,5,69573945.4,54.0185,16.556,2.9688,3.1403
MIRGOR S.A.,30578036071,,True,10,6,60200900.14,59.7081,3.2329,2.1488,1.0335
Aeropuertos Argentina 2000 S.A.,30696170580,Infraestructura - Aeropuertos,True,5,3,52831499.0,54.8733,1.3329,0.5046,5.0486
Mastellone Hermanos S.A.,30547242331,Alimentos - Lácteos,True,5,4,50197357.51,57.4912,3.2073,2.764,1.5654
CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,True,12,9,47756808.8,55.0518,2.7754,2.559,1.643
[ZZC],,Sin mapear,False,3,2,38351054.8,59.1917,1.5446,1.5474,0.6078
EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,True,9,5,33375368.14,55.7669,2.2471,0.8542,4.596
Genneia S.A.,30665234114,Energía - Renovable,True,25,7,33154189.77,42.581,4.8812,2.3884,2.5547
Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,True,27,6,33134375.61,39.7338,2.4678,1.6665,0.7151
Empresa Distrib. de Electricidad Salta S.A.,30690633635,Energía - Electricidad,True,7,3,26332611.81,49.1125,2.5346,2.7368,0.9548
SAN BAUTISTA DEL SUR SA,30715659340,,True,11,8,21707200.48,58.7567,1.7564,1.497,2.0782
[OTS],,Sin mapear,False,14,11,18844163.77,58.8333,2.2024,1.2756,1.4417
SION S.A.,30690076043,,True,11,8,18249871.39,55.9494,9.7059,8.494,2.0257
ARCOR S.A.I.C.,30502793175,,True,16,7,18087249.35,49.3504,2.5856,2.1228,3.2554
Capex S.A.,30629827060,Energía - Electricidad,True,24,9,17418872.17,45.8634,3.6148,3.732,1.6828
[GYC],,Sin mapear,False,5,4,15850733.97,54.4133,1.9734,1.8259,1.7121
[LDC],,Sin mapear,False,2,2,14411486.43,63.5975,2.0094,0.5958,1.2238
[VBC],,Sin mapear,False,8,5,14348315.62,52.1986,4.3588,2.639,0.4107
[OT4],,Sin mapear,False,6,3,12802486.61,56.963,2.2772,1.9408,2.512
Banco BBVA Argentina S.A.,30500003193,Financiero - Bancos,True,10,1,10422300.0,40.9936,2.7753,1.8612,0.2858
Arcor S.A.I.C.,30502793175,Consumo - Alimentos,True,7,6,9769197.37,61.5145,1.7367,0.9451,0.6742
PLAZA LOGISTICA S.R.L.,30655942382,,True,15,6,9245636.63,46.2924,2.5089,1.6171,1.1862
[RVS],,Sin mapear,False,2,1,6060612.58,51.0925,3.0785,3.0785,0.6242
PATAGONIA FRUITS TRADE S.A,30690967541,,True,6,4,5738253.93,53.982,3.4913,3.0803,1.928
MSU S.A.,30607597193,Energía,True,14,5,5144641.73,47.0378,2.0695,2.1112,0.8396
[AER],,Sin mapear,False,17,3,3207613.92,40.2138,2.325,2.42,1.2553
PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,,True,9,5,2428406.89,51.0279,9.262,5.7049,5.5446
BLM DESARROLLOS SA,30718221516,,True,17,5,2133221.43,42.0178,7.3626,2.3665,1.6155
GENERACION LITORAL SA,33715184139,,True,2,2,1082176.65,62.3233,4.9773,4.9773,2.7899
[SIC],,Sin mapear,False,6,4,831449.41,55.432,221928558.4927,1.7034,1.416
Banco de Servicios y Transacciones S.A.,30704960995,Financiero - Bancos,True,9,0,757953.0,36.6318,9.4737,9.4737,0.3049
Laboratorios Richmond S.A.C.I.F.,30501152826,Salud - Farma,True,3,1,690000.0,43.745,8.2035,8.2035,0.0821
[FYC],,Sin mapear,False,2,2,660937.83,64.4367,0.889,0.889,2.8255
[LUC],,Sin mapear,False,10,3,517942.11,42.3753,0.7597,0.8846,1.7208
YPF S.A.,30546689979,,True,4,2,499374.97,45.1471,3.1064,3.1064,0.2409
CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,,True,11,2,325839.46,40.7189,6.4019,4.4933,0.8878
LABORATORIOS RICHMOND S.A.C.I.F.,30501152826,,True,3,1,238000.0,41.756,3.0303,3.0303,1.9783
[CLS],,Sin mapear,False,6,3,189616.16,46.3836,26.8083,13.0524,1.0322
[EMC],,Sin mapear,False,5,2,179463.2,48.2237,4.2201,3.229,0.9719
[CLI],,Sin mapear,False,3,1,134022.0,44.1,4.8526,4.8526,8.4079
Banco Comafi S.A.,30604731018,Financiero - Bancos,True,24,3,43575.05,37.0978,2.551,1.5339,0.9756
Tarjeta Naranja S.A.,30685376349,Financiero - Crédito Consumo,True,12,2,33880.68,40.8671,2.4222,1.4736,0.4038
S.A. SAN MIGUEL,30511190238,,True,1,1,32734.0,73.2,101370.5882,101370.5882,0.0411
[PUC],,Sin mapear,False,2,2,21525.5,49.065,5.8831,5.8831,1.1225
MERCADO PAGO SERVICIOS DE PROCESAMIENTO S.R.L.,30716999498,,True,11,1,7738.26,36.9163,399749977.8158,4.8982,0.3548
BANCO HIPOTECARIO S.A.,30500011072,,True,12,2,6099.0,42.0261,0.9207,0.7638,0.3715
BANCO MARIVA S.A.,30516420444,,True,7,1,1004.0,37.6658,1.285,1.285,0.5302
Tarjeta Naranja S.A.U.,30685376349,Financiero - Consumo,True,11,1,904.0,34.8971,4.5098,4.5098,1.0053
[JNC],,Sin mapear,False,9,1,579.12,39.3023,2.4255,1.6942,0.9355
