ticker,moneda,tipo_liquidacion,ultimo_precio,monto_operado,volumen_nominal,cantidad_operaciones,spread_abs,spread_pct,years_to_maturity,liquidity_score
YM34O,ARS,2,166860.0,1603440935.0,965295.0,1294,1210.0,0.7305,7.3566,99.79
IRCPO,ARS,2,168900.0,704006304.2,419833.0,722,2000.0,1.1976,8.5558,99.28
TLCTO,ARS,2,167170.0,288646919.3,173026.0,338,800.0,0.4805,9.3634,99.25
TLCPO,ARS,2,174290.0,394975233.4,226559.0,398,3500.0,2.0231,6.7159,98.3
VSCXO,ARS,2,168000.0,1463861600.0,875000.0,300,4500.0,2.7027,11.5784,98.21
YMCXO,ARS,2,173930.0,1648305094.7,947526.0,1021,5390.0,3.1226,5.0048,98.05
PECNO,ARS,2,91100.0,80645792.4,88507.0,68,1490.0,1.6374,5.9603,96.8
DNC7O,ARS,2,168000.0,99852800.0,59600.0,73,3900.0,2.3636,4.1232,96.64
YMCJO,ARS,2,162450.0,281500433.1,173549.0,555,10500.0,6.5015,7.0582,96.13
PLC7O,ARS,2,159580.0,581117500.0,364000.0,186,17500.0,11.4754,11.0582,95.72
YMCIO,ARS,2,143750.0,824067092.8,574292.0,997,145554.5,10069.4915,2.8118,95.63
DNCAO,ARS,2,161700.0,292401740.0,181100.0,182,19000.0,11.8012,6.6338,95.45
DNC3O,ARS,2,159410.0,188499640.9,118185.0,87,11500.0,7.7181,0.2026,95.27
MR44O,ARS,2,37500.0,106850782.65,285888.0,141,2490.0,7.0121,9.807,95.24
DNCBO,ARS,2,152100.0,174228596.2,114785.0,130,12940.0,9.2389,2.8145,95.18
MR46O,ARS,2,126170.0,130682691.5,103694.0,62,7000.0,5.6911,8.3094,95.17
DNC5O,ARS,2,160940.0,111014533.2,68803.0,230,14000.0,9.396,1.9055,95.14
PQCSO,ARS,2,155000.0,77759194.9,50370.0,167,9800.0,6.4178,4.4408,94.96
SNEBO,ARS,2,104370.0,46115609.9,44344.0,84,4400.0,4.3956,2.8446,94.79
TLCQO,ARS,2,160150.0,25849887.7,16109.0,22,2460.0,1.5517,0.8104,94.7
MR43O,ARS,2,35975.0,108422151.7,303201.0,127,4300.0,13.4375,9.807,94.67
TTC9O,ARS,2,161980.0,79517689.5,49147.0,44,7860.0,4.9546,3.1239,94.56
PLC3O,ARS,2,159180.0,25410221.2,16041.0,51,4500.0,2.8571,1.64,94.55
CS48O,ARS,2,162100.0,80274673.0,49581.0,43,8970.0,5.7349,1.8371,94.22
YM38O,ARS,2,159160.0,147402137.2,92610.0,67,164837.3,107948.461,0.8652,94.19
YM34D,USD,2,108.65,1561813.75,1437733.0,901,1.5,1.3889,7.3566,93.9
IRCFO,ARS,2,79000.0,25718148.5,32822.0,82,3990.0,5.25,1.7851,93.88
CP41O,ARS,2,155950.0,46124305.5,29735.0,22,6100.0,4.0694,2.9952,93.79
DEC2O,ARS,2,155100.0,13855317.7,8941.0,26,3200.0,2.0915,0.46,93.57
VSCTO,ARS,2,167030.0,100211000.0,60000.0,4,4880.0,2.9556,9.2512,93.5
PLC7D,USD,2,104.25,837370.0,803000.0,240,1.2,1.1605,11.0582,93.48
MCC3D,USD,2,102.65,602334.52,587328.0,223,1.1,1.0795,3.6687,93.18
ZZC1O,ARS,2,156250.0,19478810.9,12506.0,27,6490.0,4.2555,0.4517,93.02
TLCUO,ARS,2,156420.0,18198873.8,11677.0,47,8390.0,5.4269,2.486,92.85
DNCBD,USD,2,99.14,469712.08,474008.0,135,1.1,1.1122,2.8145,92.63
TLCPD,USD,2,113.75,464040.64,407627.0,235,1.45,1.2775,6.7159,92.58
TLCTD,USD,2,108.85,335127.32,307418.0,347,1.3,1.1982,9.3634,92.51
MR45O,ARS,2,45500.0,50651613.1,112907.0,28,46500.0,106.8966,9.807,92.45
VSCXD,USD,2,109.9,913286.0,835000.0,266,3.5,3.2407,11.5784,92.09
TLCTC,EXT,2,104.9,208256.62,199358.0,152,0.9,0.8654,9.3634,91.94
LMS7O,ARS,2,121260.0,19944390.6,16353.0,61,121990.0,1219900.0,2.0917,91.9
YM43D,USD,2,100.7,586971.04,583319.0,142,2.68,2.7011,3.5948,91.76
OZC3O,ARS,2,161800.0,23658784.0,14909.0,47,166999.99,1669999900.0,1.2211,91.72
TLCQD,USD,2,104.9,285721.12,272488.0,58,0.95,0.9135,0.8104,91.71
YFCLO,ARS,2,159890.0,4535314.7,2874.0,27,6100.0,3.9103,2.2012,91.68
RC2CD,USD,2,102.9,267054.77,259652.0,73,1.15,1.1192,0.0739,91.68
YMCJD,USD,2,106.05,286625.89,270378.0,397,2.0,1.9048,7.0582,91.56
TLCMD,USD,2,112.9,273210.0,242000.0,74,1.6,1.4235,4.8542,91.42
CACDO,ARS,2,158700.0,20957212.0,13206.0,29,169999.95,339999900.0,2.7351,91.26
LOC6O,ARS,2,156780.0,19251298.4,12293.0,30,159999.9,159999900.0,2.3737,91.19
