ticker,moneda,tipo_liquidacion,precio_compra,precio_venta,spread_abs,spread_pct,monto_operado,years_to_maturity,liquidity_score,spread_cuartil
PLC4D,USD,2,110.75,111.1,0.35,0.316,484460.5,5.7358,92.9,Q1_tight
DEC4D,USD,2,101.25,101.6,0.35,0.3457,539.44,1.8289,82.37,Q1_tight
VSCVO,ARS,2,171150.0,171830.0,680.0,0.3973,403141300.0,6.7652,99.0,Q1_tight
PLC3D,USD,2,103.85,104.4,0.55,0.5296,153930.87,1.6537,91.93,Q1_tight
CS52D,USD,2,100.0,100.6,0.6,0.6,304711.69,1.6537,91.51,Q1_tight
IRCQD,USD,2,100.6,101.3,0.7,0.6958,5475.66,0.7584,84.74,Q1_tight
OZC3D,USD,2,103.25,104.0,0.75,0.7264,67845.33,1.2348,90.4,Q1_tight
PLC7D,USD,2,104.7,105.5,0.8,0.7641,637046.0,11.0719,93.48,Q1_tight
TLCTD,USD,2,108.9,109.8,0.9,0.8264,475583.02,9.3771,93.18,Q1_tight
MCC2D,USD,2,102.8,103.7,0.9,0.8755,1435.0,0.7447,82.54,Q1_tight
TLCMD,USD,2,112.0,113.0,1.0,0.8929,136368.5,4.8679,91.13,Q1_tight
PN41D,USD,2,105.0,106.0,1.0,0.9524,151437.66,2.9788,91.44,Q1_tight
YMCXD,USD,2,113.5,114.6,1.1,0.9692,1137633.65,5.0185,94.1,Q1_tight
CICAD,USD,2,103.0,104.0,1.0,0.9709,117089.83,1.7467,91.62,Q1_tight
RC2CD,USD,2,102.9,103.9,1.0,0.9718,83085.16,0.0876,88.55,Q1_tight
CS51D,USD,2,100.9,101.9,1.0,0.9911,5045.0,0.3778,83.51,Q1_tight
DEC2D,USD,2,100.3,101.3,1.0,0.997,35324.08,0.4736,88.32,Q1_tight
PN34D,USD,2,102.8,103.9,1.1,1.07,2690.28,1.0623,82.81,Q1_tight
VSCZD,USD,2,99.5,100.6,1.1,1.1055,62998.45,2.8638,89.48,Q1_tight
TLCQD,USD,2,103.8,104.95,1.15,1.1079,28350.62,0.8241,88.32,Q1_tight
MIC6D,USD,2,100.1,101.25,1.15,1.1489,135984.13,1.7303,91.12,Q1_tight
YM40D,USD,2,103.8,105.0,1.2,1.1561,15705.62,1.9822,87.49,Q1_tight
HJCLD,USD,2,101.3,102.5,1.2,1.1846,58119.5,2.256,89.09,Q1_tight
PFC3D,USD,2,101.1,102.3,1.2,1.1869,4703.49,3.1786,85.0,Q1_tight
VSCYD,USD,2,100.8,102.0,1.2,1.1905,14763.83,1.3662,87.26,Q1_tight
DNC3D,USD,2,102.9,104.2,1.3,1.2634,171107.94,0.2163,91.67,Q1_tight
EAC4C,EXT,2,99.7,101.0,1.3,1.3039,20483.87,9.7823,88.04,Q1_tight
SNEBD,USD,2,68.0,68.9,0.9,1.3235,4248.42,2.8583,84.77,Q1_tight
IRCFD,USD,2,51.32,52.0,0.68,1.325,27431.26,1.7988,89.0,Q1_tight
MCC1D,USD,2,105.95,107.4,1.45,1.3686,12241.07,2.5133,85.2,Q1_tight
LOC6D,USD,2,102.1,103.5,1.4,1.3712,48929.85,2.3874,89.39,Q1_tight
YM34D,USD,2,108.5,110.0,1.5,1.3825,455074.35,7.3703,92.81,Q1_tight
IRCOD,USD,1,104.5,106.0,1.5,1.4354,687.8,3.1348,81.96,Q1_tight
HJCJD,USD,2,103.3,104.8,1.5,1.4521,18728.5,0.8871,85.95,Q1_tight
CS48D,USD,2,104.75,106.3,1.55,1.4797,10816.04,1.8508,86.92,Q1_tight
TLCPD,USD,2,113.3,115.0,1.7,1.5004,268770.6,6.7296,92.14,Q1_tight
RZBBD,USD,2,66.0,67.0,1.0,1.5152,81.49,2.9979,79.92,Q1_tight
CS47D,USD,2,104.0,105.6,1.6,1.5385,7182.74,2.1985,85.79,Q1_tight
